layer,dgp,sigma_eta,prevalence,n,info,planning_model,planning_m,planning_replicates,estimands,estimators,lambdas,N,scenario_id,replications,cps_sensitivity
analytic_primary,MAIN,0.0,0.05,100,ORACLE,,,0,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,COR-10000,COR,10000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,COR-2000,COR,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,COR-500,COR,500.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,MIS-I-2000,MIS-I,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,MIS-G-2000,MIS-G,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,MIS-G-10000,MIS-G,10000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,100,KS-2000,KS,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,ORACLE,,,0,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,COR-10000,COR,10000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,COR-2000,COR,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,COR-500,COR,500.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,MIS-I-2000,MIS-I,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,MIS-G-2000,MIS-G,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,MIS-G-10000,MIS-G,10000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.05,400,KS-2000,KS,2000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.25,100,ORACLE,,,0,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
analytic_primary,MAIN,0.0,0.25,100,COR-10000,COR,10000.0,200,rate;dollars,HT;EXP;DIFF,0.0;0.25;0.5;0.75;1.0,20000,,,
