dgp,sigma,prevalence,info,fits,separated,degenerate,sm_warning,nonconverged,beta_gt_25,archived_fallback,separated_retained,separation_aware_fallback
MAIN,0.75,0.25,MIS-I-2000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,COR-10000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,COR-2000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,COR-500,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,KS-2000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,MIS-G-10000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,MIS-G-2000,200,0,0,0,0,0,0,0,0
MAIN,0.75,0.7,MIS-I-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,COR-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,COR-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,COR-500,200,0,0,0,0,1,1,0,1
MAIN,1.5,0.05,KS-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,MIS-G-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,MIS-G-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.05,MIS-I-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,COR-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,COR-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,COR-500,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,KS-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,MIS-G-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,MIS-G-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.25,MIS-I-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,COR-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,COR-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,COR-500,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,KS-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,MIS-G-10000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,MIS-G-2000,200,0,0,0,0,0,0,0,0
MAIN,1.5,0.7,MIS-I-2000,200,0,0,0,0,0,0,0,0
STRATCAP,0.0,0.05,STRAT-2000,200,22,0,0,0,0,0,22,22
STRATCAP,0.0,0.25,STRAT-2000,200,0,0,0,0,0,0,0,0
STRATCAP,0.0,0.7,STRAT-2000,200,0,0,0,0,0,0,0,0
STRATCAP,0.75,0.05,STRAT-2000,200,0,0,0,0,0,0,0,0
STRATCAP,0.75,0.25,STRAT-2000,200,0,0,0,0,0,0,0,0
STRATCAP,0.75,0.7,STRAT-2000,200,47,0,0,0,0,0,47,47
STRATCAP,1.5,0.05,STRAT-2000,200,0,0,0,0,0,0,0,0
STRATCAP,1.5,0.25,STRAT-2000,200,44,0,0,0,44,44,0,44
STRATCAP,1.5,0.7,STRAT-2000,200,187,0,0,0,60,60,127,187
